timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1581417839508,4432,AuthNProxy,401,Unauthorized,Thread Group 1-24,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4432,0,549
1581417839516,4541,AuthNProxy,401,Unauthorized,Thread Group 1-21,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4541,0,544
1581417839576,4486,AuthNProxy,401,Unauthorized,Thread Group 1-32,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4486,0,549
1581417839554,4511,AuthNProxy,401,Unauthorized,Thread Group 1-2,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4511,0,550
1581417839556,4602,AuthNProxy,401,Unauthorized,Thread Group 1-18,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4602,0,545
1581417839574,4589,AuthNProxy,401,Unauthorized,Thread Group 1-27,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4589,0,545
1581417839558,4617,AuthNProxy,401,Unauthorized,Thread Group 1-13,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4617,0,550
1581417839502,4677,AuthNProxy,401,Unauthorized,Thread Group 1-19,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4677,0,544
1581417839523,4823,AuthNProxy,401,Unauthorized,Thread Group 1-44,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4823,0,545
1581417839586,4763,AuthNProxy,401,Unauthorized,Thread Group 1-12,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4763,0,549
1581417839610,4740,AuthNProxy,401,Unauthorized,Thread Group 1-43,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4740,0,550
1581417839637,4715,AuthNProxy,401,Unauthorized,Thread Group 1-48,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4715,0,544
1581417839584,4771,AuthNProxy,401,Unauthorized,Thread Group 1-26,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4771,0,546
1581417839711,4644,AuthNProxy,401,Unauthorized,Thread Group 1-22,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4644,0,545
1581417839736,4620,AuthNProxy,401,Unauthorized,Thread Group 1-25,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4620,0,549
1581417839720,4637,AuthNProxy,401,Unauthorized,Thread Group 1-28,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4637,0,550
1581417839728,4892,AuthNProxy,401,Unauthorized,Thread Group 1-31,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4892,0,550
1581417839790,4831,AuthNProxy,401,Unauthorized,Thread Group 1-17,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4831,0,550
1581417839740,4882,AuthNProxy,401,Unauthorized,Thread Group 1-42,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4882,0,550
1581417839793,4830,AuthNProxy,401,Unauthorized,Thread Group 1-15,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4830,0,549
1581417839817,4809,AuthNProxy,401,Unauthorized,Thread Group 1-14,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4809,0,551
1581417839802,4826,AuthNProxy,401,Unauthorized,Thread Group 1-46,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4826,0,549
1581417839795,4833,AuthNProxy,401,Unauthorized,Thread Group 1-45,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4833,0,545
1581417839593,5043,AuthNProxy,401,Unauthorized,Thread Group 1-8,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,5043,0,550
1581417839768,4898,AuthNProxy,401,Unauthorized,Thread Group 1-9,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4898,0,545
1581417839826,4894,AuthNProxy,401,Unauthorized,Thread Group 1-50,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4894,0,544
1581417839892,5031,AuthNProxy,401,Unauthorized,Thread Group 1-49,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,5031,0,546
1581417840075,4849,AuthNProxy,401,Unauthorized,Thread Group 1-40,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4849,0,545
1581417839836,5090,AuthNProxy,401,Unauthorized,Thread Group 1-39,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,5090,0,545
1581417840089,4839,AuthNProxy,401,Unauthorized,Thread Group 1-5,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4839,0,544
1581417840064,4873,AuthNProxy,401,Unauthorized,Thread Group 1-30,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4873,0,550
1581417839900,5038,AuthNProxy,401,Unauthorized,Thread Group 1-6,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,5038,0,549
1581418444420,4168,AuthNProxy,401,Unauthorized,Thread Group 1-47,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4168,0,551
1581418444403,4192,AuthNProxy,401,Unauthorized,Thread Group 1-35,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4192,0,551
1581418444444,4189,AuthNProxy,401,Unauthorized,Thread Group 1-19,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4189,0,550
1581418444371,4266,AuthNProxy,401,Unauthorized,Thread Group 1-18,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4266,0,545
1581418444423,4220,AuthNProxy,401,Unauthorized,Thread Group 1-39,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4220,0,546
1581418444445,4200,AuthNProxy,401,Unauthorized,Thread Group 1-28,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4199,0,550
1581418444523,4139,AuthNProxy,401,Unauthorized,Thread Group 1-26,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4139,0,550
